Question,Answer
What is meant by 'AWS Cloud is a cloud computing ' in context of What is AWS Cloud??,AWS Cloud is a cloud computing
What is meant by 'AWS Cloud is a highly scalable and ' in context of What is AWS Cloud??,AWS Cloud is a highly scalable and
What is meant by 'AWS Cloud is also a cost-effective ' in context of What is AWS Cloud??,AWS Cloud is also a cost-effective
What is meant by 'Scalability - Easily add/ remove resources as required' in context of Benefits of using AWS Cloud??,Scalability - Easily add/ remove resources as required
What is meant by 'Reliability - Backed by reliable AWS network with proven track ' in context of Benefits of using AWS Cloud??,Reliability - Backed by reliable AWS network with proven track
What is meant by 'Cost-effectiveness - Pay only for what you use' in context of Benefits of using AWS Cloud??,Cost-effectiveness - Pay only for what you use
What is meant by 'Security - Wide range of security features and services to protect ' in context of Benefits of using AWS Cloud??,Security - Wide range of security features and services to protect
What is meant by 'Innovation - 200+ fully featured services for a wide range of ' in context of Benefits of using AWS Cloud??,Innovation - 200+ fully featured services for a wide range of
What is meant by 'AWS Global infrastructure consists of a network of data centers located ' in context of AWS Global Infrastructure?,AWS Global infrastructure consists of a network of data centers located
What is Availability Zones.?,• A Region is a geographical area that contains multiple Availability Zones.
What is meant by 'AWS Edge Locations are locations around the world where AWS content is ' in context of An Availability Zone is a logically isolated section of a Region.?,AWS Edge Locations are locations around the world where AWS content is
What is meant by 'Regional Edge Caches are caches of frequently accessed AWS content that ' in context of An Availability Zone is a logically isolated section of a Region.?,Regional Edge Caches are caches of frequently accessed AWS content that
What is meant by 'AWS IAM (Identity and Access Management) - service that allows you to ' in context of Accessing AWS Services?,AWS IAM (Identity and Access Management) - service that allows you to
"What is meant by 'IAM allows you to create Users and Groups, and assign them ' in context of Accessing AWS Services?","IAM allows you to create Users and Groups, and assign them"
"What is meant by 'IAM Roles - Very similar to a user, in that it is an identity with permission ' in context of Accessing AWS Services?","IAM Roles - Very similar to a user, in that it is an identity with permission"
What is meant by 'IAM Policies - Documents that specify the permissions that are granted ' in context of Accessing AWS Services?,IAM Policies - Documents that specify the permissions that are granted
What is meant by 'AWS Management Console' in context of Interacting with AWS Services?,AWS Management Console
What is meant by 'AWS Command Line Interface' in context of Interacting with AWS Services?,AWS Command Line Interface
What is meant by 'Software Development Kits' in context of Interacting with AWS Services?,Software Development Kits
"What is meant by 'Use strong passwords, enable password policy and enable multi-' in context of Best Practices for managing AWS Accounts?","Use strong passwords, enable password policy and enable multi-"
"What is meant by 'Use security groups, Network Access Controls and VPCs to protect ' in context of AWS resources.?","Use security groups, Network Access Controls and VPCs to protect"
What is meant by 'Implement monitoring and logging to track your AWS usage and ' in context of AWS resources.?,Implement monitoring and logging to track your AWS usage and
What is meant by 'Compute' in context of Common AWS Services?,Compute
What is meant by 'Amazon Elastic Compute Cloud (EC2)' in context of Common AWS Services?,Amazon Elastic Compute Cloud (EC2)
What is meant by 'Amazon Elastic Container Service (ECS)' in context of Common AWS Services?,Amazon Elastic Container Service (ECS)
What is meant by 'AWS Lambda' in context of Common AWS Services?,AWS Lambda
What is meant by 'Storage' in context of Common AWS Services?,Storage
What is meant by 'Amazon Simple Storage Service (S3)' in context of Common AWS Services?,Amazon Simple Storage Service (S3)
What is meant by 'Amazon Elastic Block Store (EBS)' in context of Common AWS Services?,Amazon Elastic Block Store (EBS)
What is meant by 'Amazon Elastic File System (EFS)' in context of Common AWS Services?,Amazon Elastic File System (EFS)
What is meant by 'Databases' in context of Common AWS Services?,Databases
What is meant by 'Amazon Relational Database Service (RDS)' in context of Common AWS Services?,Amazon Relational Database Service (RDS)
What is meant by 'Amazon DynamoDB' in context of Common AWS Services?,Amazon DynamoDB
What is meant by 'Amazon Aurora' in context of Common AWS Services?,Amazon Aurora
What is meant by 'Networking and Content Delivery' in context of Common AWS Services?,Networking and Content Delivery
What is meant by 'Amazon Virtual Private Cloud (VPC)' in context of Common AWS Services?,Amazon Virtual Private Cloud (VPC)
What is meant by 'Amazon Route 53' in context of Common AWS Services?,Amazon Route 53
What is meant by 'Amazon CloudFront' in context of Common AWS Services?,Amazon CloudFront
What is meant by 'Analytics ' in context of Common AWS Services?,Analytics
What is meant by 'Amazon Redshift' in context of Common AWS Services?,Amazon Redshift
What is meant by 'Amazon Athena' in context of Common AWS Services?,Amazon Athena
What is meant by 'Amazon Kinesis' in context of Common AWS Services?,Amazon Kinesis
What is meant by 'Machine Learning' in context of Common AWS Services?,Machine Learning
What is meant by 'Amazon SageMaker' in context of Common AWS Services?,Amazon SageMaker
What is meant by 'Amazon Rekognition' in context of Common AWS Services?,Amazon Rekognition
What is meant by 'Amazon Comprehend' in context of Common AWS Services?,Amazon Comprehend
What is meant by 'Amazon BedRock' in context of Common AWS Services?,Amazon BedRock
What is meant by 'DevOps' in context of Common AWS Services?,DevOps
What is meant by 'AWS CodePipeline' in context of Common AWS Services?,AWS CodePipeline
What is meant by 'AWS CodeDeploy' in context of Common AWS Services?,AWS CodeDeploy
What is meant by 'Management & Governance' in context of Common AWS Services?,Management & Governance
What is meant by 'AWS CloudFormation' in context of Common AWS Services?,AWS CloudFormation
What is meant by 'Amazon CloudWatch' in context of Common AWS Services?,Amazon CloudWatch
What is meant by 'Amazon CloudTrail' in context of Common AWS Services?,Amazon CloudTrail
What is meant by 'Application Integration' in context of Common AWS Services?,Application Integration
What is meant by 'Amazon SNS' in context of Common AWS Services?,Amazon SNS
What is meant by 'Amazon SQS' in context of Common AWS Services?,Amazon SQS
What is meant by 'Amazon EventBridge' in context of Common AWS Services?,Amazon EventBridge
What is meant by 'AWS Step Functions' in context of Common AWS Services?,AWS Step Functions
What is meant by 'A fundamental theorem in distributed systems.' in context of CAP THEOREM?,A fundamental theorem in distributed systems.
What is meant by 'Can have at most two of the following three' in context of CAP THEOREM?,Can have at most two of the following three
What is DISTRIBUTED SYSTEM?,"฀ Consider a simple distributed system with two servers,G1 and  G2 ฀ The servers can communicate with each other and connect to remote  clients https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/"
"What is For this to happen, whenever data is written to one node, it must be instantly?",forwarded or replicated to all the other nodes in the system before the write is  deemed ‘successful.’
What is Inconsistent system?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What is Consistent system?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What is Another way to state this—all working nodes in the distributed system return a?,"valid response for any request, without exception."
What is A partition is a communications break within a distributed system—a lost or?,temporarily delayed connection between two nodes.
What is Partition tolerance means that the cluster must continue to work despite any?,number of communication breakdowns between nodes in the system.
What is Messages may be delayed or lost forever?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
"What is Consider partitioned system,?",https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What is Client writes to G1?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What is Client reads from G2?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What is meant by 'Consistency &Availability is not“binary” decision' in context of CONSISTENCY OR AVAILABILITY?,Consistency &Availability is not“binary” decision
What is meant by 'AP systems relax consistency in favor of availability – but' in context of CONSISTENCY OR AVAILABILITY?,AP systems relax consistency in favor of availability – but
What is meant by 'CP systems sacrifice availability for consistency- but are' in context of CONSISTENCY OR AVAILABILITY?,CP systems sacrifice availability for consistency- but are
What is meant by 'This suggests both AP & CP systems can offer a degree' in context of CONSISTENCY OR AVAILABILITY?,This suggests both AP & CP systems can offer a degree
"What is It is guaranteed that if no new updates are made to object,eventually?","all accesses will return the last updated value (e.g.,propagate updates to replicas in a lazy fashion)"
What is meant by 'Bob finds an interesting story and shares with Alice by ' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Bob finds an interesting story and shares with Alice by
What is meant by 'Bob asksAlice to check it out' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Bob asksAlice to check it out
"What is meant by 'Alice logs in her account,checks her Facebook wall but' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?","Alice logs in her account,checks her Facebook wall but"
What is meant by 'Bob tells Alice to wait a bit and check out later' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Bob tells Alice to wait a bit and check out later
What is meant by 'Alice waits for a minute or so and checks back – Finds the' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Alice waits for a minute or so and checks back – Finds the
What is meant by 'Why would Facebook choose an eventual consistent' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Why would Facebook choose an eventual consistent
"What is meant by 'https' in context of CAP Theorem."" Computer 45.2 (2012):30-36?",https://mwhittaker.github.io/blog/an_illustrated_p
What is meant by 'Technology is abstracted away from the user.' in context of Cloud Computing Principles?,Technology is abstracted away from the user.
What is meant by 'e.g. hardware and software management is the responsibility of the cloud ' in context of Cloud Computing Principles?,e.g. hardware and software management is the responsibility of the cloud
What is meant by 'Location-independent (if you have enough bandwidth)' in context of Cloud Computing Principles?,Location-independent (if you have enough bandwidth)
What is meant by 'Cloud Services have a scalable architecture' in context of Cloud Computing Principles?,Cloud Services have a scalable architecture
What is meant by 'Dynamic' in context of Cloud Computing Principles?,Dynamic
What is meant by 'Request-driven' in context of Cloud Computing Principles?,Request-driven
What is meant by 'Clouds have multi-tenancy' in context of Cloud Computing Principles?,Clouds have multi-tenancy
What is meant by 'Scale and Elasticity' in context of Features of Cloud?,Scale and Elasticity
What is meant by 'Resource pooling' in context of Features of Cloud?,Resource pooling
What is meant by 'Location independence' in context of Features of Cloud?,Location independence
What is meant by 'On-demand self-service provisioning' in context of Features of Cloud?,On-demand self-service provisioning
What is meant by 'Web services interfaces' in context of Features of Cloud?,Web services interfaces
What is meant by 'Billing and metering services' in context of Features of Cloud?,Billing and metering services
What is meant by 'Monitoring and measuring performance' in context of Features of Cloud?,Monitoring and measuring performance
What is meant by 'Cloud computing is a style of computing in which scalable and elastic IT - enabled ' in context of Gartner?,Cloud computing is a style of computing in which scalable and elastic IT - enabled
"What is meant by 'A standardized IT capability (services, software, or infrastructure)delivered in a pay-per-' in context of Forrester Research?","A standardized IT capability (services, software, or infrastructure)delivered in a pay-per-"
"What is meant by 'Cloud computing is a model for enabling ubiquitous, convenient, on-demand network ' in context of NIST?","Cloud computing is a model for enabling ubiquitous, convenient, on-demand network"
What is Everything as a Service?,"⚫ Traditionally applications ran on dedicated hardware ⚫ Clouds provide everything (hardware, software, applications, etc.) as a  service"
What is meant by 'Cloud Software as a Service (SaaS)' in context of The Business Case for the Cloud?,Cloud Software as a Service (SaaS)
What is meant by 'Cloud Platform as a Service (PaaS)' in context of The Business Case for the Cloud?,Cloud Platform as a Service (PaaS)
What is meant by 'Cloud Infrastructure as a Service (IaaS)' in context of The Business Case for the Cloud?,Cloud Infrastructure as a Service (IaaS)
What is meant by 'Customer rents computing resources rather than buying and installing them' in context of Infrastructure as a Service (IaaS)?,Customer rents computing resources rather than buying and installing them
What is meant by 'Paid on a usage basis' in context of Infrastructure as a Service (IaaS)?,Paid on a usage basis
What is meant by 'May include dynamic scaling' in context of Infrastructure as a Service (IaaS)?,May include dynamic scaling
What is Platform as a Service (PaaS)?,⚫ Delivers a solution stack (ready-made) for both ⚫ software development and ⚫ a runtime environment ⚫ Easy to develop applications ⚫ May be constrained ⚫ Danger of lock-in ⚫ allow you to focus on the deployment and management of your  applications. ⚫ Cloud consumer is spared the administrative burden of setting up  and maintaining the bare infrastructure IT resources
What is Software as a Service (SaaS)?,"⚫ Service provider offers specific applications offered as a “product” ⚫ hosted by the provider ⚫ Consumed by the customer ⚫ May be customised by the customer ⚫ Information stored by the provider ⚫ No necessity to purchase any hardware ⚫ The SaaS vendor ⚫ Operates ⚫ Maintains and ⚫ Supports all the software, hardware, and communications technology ⚫ The price is on a per-use basis and involves no upfront capital costs."
"What is meant by 'Flexibility, finer control, & performance' in context of IaaS?","Flexibility, finer control, & performance"
What is meant by 'Still need some level of infrastructure maintenance' in context of IaaS?,Still need some level of infrastructure maintenance
"What is meant by 'Speedy development, better integration, automated scaling, no maintenance ' in context of PaaS?","Speedy development, better integration, automated scaling, no maintenance"
What is meant by 'Fastest for common applications' in context of SaaS?,Fastest for common applications
What is meant by 'Storage as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Storage as a Service
What is meant by 'Database as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Database as a Service
What is meant by 'Security as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Security as a Service
What is meant by 'Communication as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Communication as a Service
What is meant by 'Integration as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Integration as a Service
What is meant by 'Testing as a Service' in context of Many specialized variations of the three base cloud delivery models have?,Testing as a Service
What is meant by 'Private cloud' in context of Cloud service/ delivery models variations?,Private cloud
What is meant by 'Public cloud' in context of Cloud service/ delivery models variations?,Public cloud
What is meant by 'Hybrid cloud' in context of Cloud service/ delivery models variations?,Hybrid cloud
What is meant by 'Community cloud' in context of Cloud service/ delivery models variations?,Community cloud
What is meant by 'Personal cloud' in context of Cloud service/ delivery models variations?,Personal cloud
What is meant by 'Cloud computing often leverages' in context of Common Cloud Characteristics?,Cloud computing often leverages:
What is meant by 'What services are available?' in context of Know what you want first?,What services are available?
What is meant by 'What is your pricing model?' in context of Know what you want first?,What is your pricing model?
What is meant by 'What are your scaling options?' in context of Know what you want first?,What are your scaling options?
What is meant by 'What are your security measures?' in context of Know what you want first?,What are your security measures?
What is meant by 'Where are your datacenters located?' in context of Know what you want first?,Where are your datacenters located?
What is meant by 'What are SLA terms?' in context of Know what you want first?,What are SLA terms?
What is meant by 'Customer support' in context of Know what you want first?,Customer support
What is meant by 'https' in context of References?,https://www.cloudflare.com/learning/cloud/what-is-the-cloud/
What is meant by 'The guaranteed proportion of time that the system ' in context of Availability?,The guaranteed proportion of time that the system
What is Downtime per year?,99.999 99.95 5 minutes 1 hour 99.99 99.9 99 4.4 hours 9 hours 3.7 days
What is meant by 'Brief History – Infrastructure shifts over the decades' in context of AGENDA?,Brief History – Infrastructure shifts over the decades
What is meant by 'VMs vs Containers' in context of AGENDA?,VMs vs Containers
What is meant by 'What are containers and what problem does it solve?' in context of AGENDA?,What are containers and what problem does it solve?
What is meant by 'What is Docker?' in context of AGENDA?,What is Docker?
What is meant by 'Deep dive into Docker Internals' in context of AGENDA?,Deep dive into Docker Internals
"What is meant by 'Just an isolated process running on the host machine. And a restricted process.' in context of IN SUMMARY A CONTAINER IS,?",Just an isolated process running on the host machine. And a restricted process.
"What is meant by 'Will share OS and, where appropriate, bins/ libraries and limited to what ' in context of IN SUMMARY A CONTAINER IS,?","Will share OS and, where appropriate, bins/ libraries and limited to what"
"What is meant by 'It exits when the process stops.' in context of IN SUMMARY A CONTAINER IS,?",It exits when the process stops.
"What is meant by 'So what’s Docker? – In 2024, Docker means lot’s of things, let’s just clear ' in context of WHAT IS DOCKER??","So what’s Docker? – In 2024, Docker means lot’s of things, let’s just clear"
What is meant by 'Docker as a “Company”' in context of WHAT IS DOCKER??,Docker as a “Company”
What is meant by 'Docker as a “Product”' in context of WHAT IS DOCKER??,Docker as a “Product”
What is meant by 'Docker as a “Platform”' in context of WHAT IS DOCKER??,Docker as a “Platform”
What is meant by 'Docker as a “CLI tool”' in context of WHAT IS DOCKER??,Docker as a “CLI tool”
What is meant by 'Docker provides the ability to package and run applications within a loosely ' in context of WHAT IS DOCKER??,Docker provides the ability to package and run applications within a loosely
"What is meant by 'It provides tooling and a platform to manage lifecycle of your containers,' in context of WHAT IS DOCKER??","It provides tooling and a platform to manage lifecycle of your containers,"
What is meant by 'Develop your apps and supporting components using containers' in context of WHAT IS DOCKER??,Develop your apps and supporting components using containers
What is meant by 'Distribute and test your apps as a container' in context of WHAT IS DOCKER??,Distribute and test your apps as a container
"What is meant by 'Ability to deploy your app as a container or an orchestrated service, in whatever environment which supports Docker ' in context of WHAT IS DOCKER??","Ability to deploy your app as a container or an orchestrated service, in whatever environment which supports Docker"
What is meant by 'It shares the same OS kernel' in context of WHAT IS DOCKER??,It shares the same OS kernel
What is meant by 'Docker is an extension of LXC’s (Linux Containers) capabilities and packaged ' in context of UNDERLYING TECHNOLOGY IN DOCKER?,Docker is an extension of LXC’s (Linux Containers) capabilities and packaged
"What is meant by 'It was developed in Go language and utilizes LXC, namespaces, cgroups and ' in context of UNDERLYING TECHNOLOGY IN DOCKER?","It was developed in Go language and utilizes LXC, namespaces, cgroups and"
"What is meant by 'Docker CLI structure,' in context of BASIC DOCKER COMMANDS?","Docker CLI structure,"
What is meant by 'Old (Still works as expected) docker <command> options' in context of BASIC DOCKER COMMANDS?,Old (Still works as expected) docker <command> options
What is meant by 'New – docker <command> <sub-command> (options)' in context of BASIC DOCKER COMMANDS?,New – docker <command> <sub-command> (options)
What is meant by 'Pulling Docker Image' in context of BASIC DOCKER COMMANDS?,Pulling Docker Image
What is meant by 'docker pull nginx' in context of BASIC DOCKER COMMANDS?,docker pull nginx
What is meant by 'Running a Docker Container' in context of BASIC DOCKER COMMANDS?,Running a Docker Container
What is meant by 'docker run –p 80' in context of BASIC DOCKER COMMANDS?,docker run –p 80:80 --name web-server nginx
What is meant by 'Stopping the Container' in context of BASIC DOCKER COMMANDS?,Stopping the Container
What is meant by 'docker stop web-server (or container id) ' in context of BASIC DOCKER COMMANDS?,docker stop web-server (or container id)
"What is meant by 'Check what’s happening in a containers,' in context of BASIC DOCKER COMMANDS?","Check what’s happening in a containers,"
What is meant by 'docker container top web-server – Process list in 1 container' in context of BASIC DOCKER COMMANDS?,docker container top web-server – Process list in 1 container
What is meant by 'docker container inspect web-server – Details of one container config' in context of BASIC DOCKER COMMANDS?,docker container inspect web-server – Details of one container config
What is meant by 'docker container stats – Performance stats for all containers' in context of BASIC DOCKER COMMANDS?,docker container stats – Performance stats for all containers
"What is meant by 'Getting a shell inside containers,' in context of BASIC DOCKER COMMANDS?","Getting a shell inside containers,"
What is meant by 'docker container run –it – Start a new container interactively' in context of BASIC DOCKER COMMANDS?,docker container run –it – Start a new container interactively
What is meant by 'docker container exec –it <container_id_or_name> echo “I’m inside the container” – Run additional ' in context of BASIC DOCKER COMMANDS?,docker container exec –it <container_id_or_name> echo “I’m inside the container” – Run additional
"What is meant by 'Listing, removing containers and images' in context of BASIC DOCKER COMMANDS?","Listing, removing containers and images"
What is meant by 'docker images' in context of BASIC DOCKER COMMANDS?,docker images
What is meant by 'docker container ls | docker ps ' in context of BASIC DOCKER COMMANDS?,docker container ls | docker ps
What is meant by 'Docker – Container runtime + Tool for managing containers and images' in context of ARE THERE SOLUTIONS OTHER THAN DOCKER??,Docker – Container runtime + Tool for managing containers and images
What is meant by 'Containerd – Container runtime only' in context of ARE THERE SOLUTIONS OTHER THAN DOCKER??,Containerd – Container runtime only
What is meant by 'docker run –p 80' in context of WHAT HAPPENS WHEN YOU RUN A CONTAINER??,docker run –p 80:80 nginx | docker container run –p 80:80 nginx
"What is Looks for that particular image locally in image cache, if its not found pulls it from the?",configured registry (image repository). Downloads the latest version by default  (nginx:latest) 2.
"What is Docker allocates read write filesystem to the container, as its final layer. This allows running?",container to modify files and directories in its local filesystem. 4.
What is meant by 'Docker Images' in context of DOCKER OBJECTS?,Docker Images
What is meant by 'A read-only template with instructions/ metadata for creating a Docker container.' in context of DOCKER OBJECTS?,A read-only template with instructions/ metadata for creating a Docker container.
What is meant by 'Can create your own image or use images created and published in a registry by others.' in context of DOCKER OBJECTS?,Can create your own image or use images created and published in a registry by others.
What is meant by 'Dockerfile can be used to define steps required to create and run the image.' in context of DOCKER OBJECTS?,Dockerfile can be used to define steps required to create and run the image.
"What is meant by 'Each instruction in Dockerfile creates a layer in the image, only those layers which ' in context of DOCKER OBJECTS?","Each instruction in Dockerfile creates a layer in the image, only those layers which"
What is meant by 'Docker Containers' in context of DOCKER OBJECTS?,Docker Containers
What is meant by 'Runnable instance of an image.' in context of DOCKER OBJECTS?,Runnable instance of an image.
"What is meant by 'Can create, start, stop, move, or delete a container using the Docker API or CLI.' in context of DOCKER OBJECTS?","Can create, start, stop, move, or delete a container using the Docker API or CLI."
"What is meant by 'Can connect it to one or more networks, attach storage to it, or even create a new image ' in context of DOCKER OBJECTS?","Can connect it to one or more networks, attach storage to it, or even create a new image"
What is meant by 'A container is defined by its image as well as any config options provided to it when you ' in context of DOCKER OBJECTS?,A container is defined by its image as well as any config options provided to it when you
What is meant by 'Docker Filesystem' in context of INTERNALS?,Docker Filesystem
What is meant by 'Boot file system (bootfs) – Contains the bootloader and the kernel. User never touches ' in context of INTERNALS?,Boot file system (bootfs) – Contains the bootloader and the kernel. User never touches
What is meant by 'Root file system (rootfs) – Includes the typical directory structure we associate with Unix-' in context of INTERNALS?,Root file system (rootfs) – Includes the typical directory structure we associate with Unix-
"What is meant by 'In traditional Linux boot, kernel first mounts the rootfs as read-only, checks its integrity, ' in context of INTERNALS?","In traditional Linux boot, kernel first mounts the rootfs as read-only, checks its integrity,"
"What is meant by 'Docker mounts the rootfs and instead of changing the file system to read-write mode, ' in context of INTERNALS?","Docker mounts the rootfs and instead of changing the file system to read-write mode,"
"What is meant by 'In Docker terminology, a read-only layer is called an image. An image never changes ' in context of INTERNALS?","In Docker terminology, a read-only layer is called an image. An image never changes"
What is meant by 'Each image depend on one more image which creates the layer beneath it. The lower ' in context of INTERNALS?,Each image depend on one more image which creates the layer beneath it. The lower
"What is meant by 'When you run a container, Docker fetches the image and its Parent Image, and repeats ' in context of INTERNALS?","When you run a container, Docker fetches the image and its Parent Image, and repeats"
"What is meant by 'That read-write layer, plus the information about its Parent Image and some additional ' in context of INTERNALS?","That read-write layer, plus the information about its Parent Image and some additional"
"What is meant by 'A container can have two states, it may be running or exited. ' in context of INTERNALS?","A container can have two states, it may be running or exited."
What is meant by 'When a container is exited the state of the file system and its exit value is saved. ' in context of INTERNALS?,When a container is exited the state of the file system and its exit value is saved.
"What is meant by 'You can start, stop, and restart a container. The processes of restarting a container from ' in context of INTERNALS?","You can start, stop, and restart a container. The processes of restarting a container from"
What is meant by 'You can also remove the container permanently. ' in context of INTERNALS?,You can also remove the container permanently.
What is meant by 'A container can also be promoted directly into an image using the docker commit ' in context of INTERNALS?,A container can also be promoted directly into an image using the docker commit
What is meant by 'docker commit <container-id> <image-name' in context of INTERNALS?,docker commit <container-id> <image-name:tag>
What is meant by 'If a file or directory exists in a lower layer within ' in context of Copy on Write to improve the efficiency by?,If a file or directory exists in a lower layer within
What is meant by 'The first time another layer needs to modify the ' in context of Copy on Write to improve the efficiency by?,The first time another layer needs to modify the
What is meant by 'Docker Image Creation and Storage' in context of Copy on Write to improve the efficiency by?,Docker Image Creation and Storage
What is meant by 'You can create an image using a Dockerfile or by committing a container’s ' in context of Copy on Write to improve the efficiency by?,You can create an image using a Dockerfile or by committing a container’s
"What is meant by 'Once you create an image, it will be stored in the Docker host’s local image ' in context of Copy on Write to improve the efficiency by?","Once you create an image, it will be stored in the Docker host’s local image"
"What is meant by 'In order to move images in/out of the local image cache,' in context of Copy on Write to improve the efficiency by?","In order to move images in/out of the local image cache,"
What is meant by 'Export/ Import it as a tarball' in context of Copy on Write to improve the efficiency by?,Export/ Import it as a tarball
What is meant by 'Docker Networks' in context of DOCKER OBJECTS CONT…?,Docker Networks
What is meant by 'Each container is connected to a private virtual network called “bridge”.' in context of DOCKER OBJECTS CONT…?,Each container is connected to a private virtual network called “bridge”.
What is meant by 'Each virtual network routes through the NAT firewall on the host IP.' in context of DOCKER OBJECTS CONT…?,Each virtual network routes through the NAT firewall on the host IP.
What is meant by 'All containers on a virtual network can talk to each other without exposing ports.' in context of DOCKER OBJECTS CONT…?,All containers on a virtual network can talk to each other without exposing ports.
What is meant by 'Best practice is to create a new virtual network for each app.' in context of DOCKER OBJECTS CONT…?,Best practice is to create a new virtual network for each app.
What is meant by 'Docker enables to' in context of DOCKER OBJECTS CONT…?,Docker enables to:
What is meant by 'Create new virtual networks.' in context of DOCKER OBJECTS CONT…?,Create new virtual networks.
What is meant by 'Attach container to more than one virtual network (or none)' in context of DOCKER OBJECTS CONT…?,Attach container to more than one virtual network (or none)
What is meant by 'Skip virtual networks and use host IP (--net=host)' in context of DOCKER OBJECTS CONT…?,Skip virtual networks and use host IP (--net=host)
What is meant by 'Use different Docker network drivers to gain new abilities. ' in context of DOCKER OBJECTS CONT…?,Use different Docker network drivers to gain new abilities.
"What is meant by 'Docker Engine provides support for different network drivers – bridge (default), overlay and ' in context of DOCKER OBJECTS CONT…?","Docker Engine provides support for different network drivers – bridge (default), overlay and"
What is meant by 'Docker Networking – DNS' in context of DOCKER OBJECTS CONT…?,Docker Networking – DNS
"What is meant by 'Docker deamon has a built in DNS, which consider container name as equivalent hostname of ' in context of DOCKER OBJECTS CONT…?","Docker deamon has a built in DNS, which consider container name as equivalent hostname of"
What is meant by 'If we want to use persistence data as in like databases or unique data in ' in context of PERSISTENCE DATA?,If we want to use persistence data as in like databases or unique data in
What is meant by 'Volumes – Make a location outside of container UFS.' in context of PERSISTENCE DATA?,Volumes – Make a location outside of container UFS.
"What is meant by 'Another Docker client, that lets you work with apps consisting of a set of ' in context of DOCKER COMPOSE?","Another Docker client, that lets you work with apps consisting of a set of"
What is meant by 'Can use this to create one-line development environments' in context of VCS.?,Can use this to create one-line development environments
What is meant by 'Consists of two components' in context of VCS.?,Consists of two components
"What is meant by 'YAML formatted file that describes – Images, Containers, Networks, Volumes etc…' in context of VCS.?","YAML formatted file that describes – Images, Containers, Networks, Volumes etc…"
